meal_id	meal_name	meal_type	diet_type	prep_time_min	ingredients
1001	Greek Yogurt Bowl (berries + chia)	breakfast	vegetarian	8	[{"id":1,"g":250},{"id":46,"g":80},{"id":18,"g":12}]
1002	Skyr Bowl (berries + flax)	breakfast	vegetarian	6	[{"id":2,"g":250},{"id":45,"g":90},{"id":19,"g":10}]
1003	Cottage Cheese + Pineapple + walnuts	breakfast	vegetarian	5	[{"id":3,"g":220},{"id":48,"g":120},{"id":24,"g":15}]
1004	Protein Oats (banana + whey)	breakfast	vegetarian	10	[{"id":7,"g":70},{"id":42,"g":120},{"id":98,"g":25}]
1005	Vegan Protein Oats (banana + pea)	breakfast	vegan	10	[{"id":7,"g":70},{"id":42,"g":120},{"id":99,"g":25}]
1006	Overnight Oats (almond milk + blueberries + chia)	breakfast	vegan	7	[{"id":7,"g":60},{"id":5,"g":200},{"id":46,"g":90},{"id":18,"g":12}]
1007	Egg White Omelette + spinach + toast	breakfast	non-vegetarian	12	[{"id":83,"g":220},{"id":56,"g":70},{"id":8,"g":70}]
1008	Avocado Toast + eggs	breakfast	non-vegetarian	12	[{"id":8,"g":80},{"id":32,"g":70},{"id":82,"g":100}]
1009	Soy Smoothie (banana + spinach + pea protein)	breakfast	vegan	7	[{"id":6,"g":250},{"id":42,"g":120},{"id":56,"g":60},{"id":99,"g":25}]
1010	Milk Smoothie (banana + whey)	breakfast	vegetarian	7	[{"id":4,"g":250},{"id":42,"g":120},{"id":98,"g":25}]
1011	Chia Pudding (almond milk + strawberries)	breakfast	vegan	8	[{"id":5,"g":250},{"id":18,"g":25},{"id":45,"g":120}]
1012	Toast + peanut butter + banana	breakfast	vegan	6	[{"id":8,"g":80},{"id":21,"g":20},{"id":42,"g":120}]
1013	Toast + almond butter + blueberries	breakfast	vegan	6	[{"id":8,"g":80},{"id":22,"g":18},{"id":46,"g":90}]
1014	Granola + Greek yogurt + strawberries	breakfast	vegetarian	5	[{"id":1,"g":220},{"id":17,"g":45},{"id":45,"g":120}]
1015	Granola + soy milk + blueberries	breakfast	vegan	5	[{"id":6,"g":250},{"id":17,"g":50},{"id":46,"g":100}]
1016	Tofu Scramble (spinach + peppers)	breakfast	vegan	12	[{"id":77,"g":200},{"id":56,"g":60},{"id":58,"g":80},{"id":28,"g":5}]
1017	Tofu Scramble (mushrooms + onions)	breakfast	vegan	12	[{"id":77,"g":200},{"id":64,"g":100},{"id":59,"g":60},{"id":28,"g":5}]
1018	Eggs + whole wheat toast + tomato	breakfast	non-vegetarian	10	[{"id":82,"g":120},{"id":8,"g":70},{"id":53,"g":80}]
