meal_id,meal_name,meal_type,diet_type,prep_time,calories,protein,carbs,fat,fiber,sugar,preference
1001,Greek Yogurt Bowl (berries + chia),breakfast,vegetarian,8,251.42,28.29,25.65,4.92,6.05,17.0,Medium
1002,Skyr Bowl (berries + flax),breakfast,vegetarian,6,237.2,29.96,19.82,4.99,4.53,14.57,Low
1003,Cottage Cheese + Pineapple + walnuts,breakfast,vegetarian,5,338.5,27.05,25.3,12.07,2.68,18.21,Medium
1004,Protein Oats (banana + whey),breakfast,vegetarian,10,479.1,33.15,76.27,6.69,11.04,16.34,High
1005,Vegan Protein Oats (banana + pea),breakfast,vegan,10,474.1,31.9,76.27,6.69,11.79,15.59,High
1006,Overnight Oats (almond milk + blueberries + chia),breakfast,vegan,7,373.02,13.95,58.48,10.49,13.05,9.6,Medium
1007,Egg White Omelette + spinach + toast,breakfast,non-vegetarian,12,303.4,35.33,32.76,3.66,6.3,5.81,High
1008,Avocado Toast + eggs,breakfast,non-vegetarian,12,452.6,24.8,39.85,23.65,10.13,6.15,High
1009,Soy Smoothie (banana + spinach + pea protein),breakfast,vegan,7,298.1,30.06,36.27,6.6,7.19,16.13,Medium
1010,Milk Smoothie (banana + whey),breakfast,vegetarian,7,331.8,29.82,42.36,6.86,3.62,28.14,Medium
1011,Chia Pudding (almond milk + strawberries),breakfast,vegan,8,197.4,6.46,20.52,11.04,11.5,5.88,Low
1012,Toast + peanut butter + banana,breakfast,vegan,6,422.0,16.72,64.16,13.72,9.76,21.0,Medium
1013,Toast + almond butter + blueberries,breakfast,vegan,6,359.42,14.81,49.27,13.71,9.4,14.42,Medium
1014,Granola + Greek yogurt + strawberries,breakfast,vegetarian,5,380.15,28.0,45.96,10.24,5.55,24.6,Medium
1015,Granola + soy milk + blueberries,breakfast,vegan,5,375.0,13.95,50.75,14.8,7.4,23.0,Medium
1016,Tofu Scramble (spinach + peppers),breakfast,vegan,12,370.8,36.54,12.96,22.88,5.4,4.8,High
1017,Tofu Scramble (mushrooms + onions),breakfast,vegan,12,378.2,37.76,14.88,22.76,4.42,5.72,High
1018,Eggs + whole wheat toast + tomato,breakfast,non-vegetarian,10,358.9,25.42,33.14,15.1,5.72,7.39,High
