ingredient_id	ingredient_name	kcal_per_100g	protein_per_100g	carbs_per_100g	fat_per_100g	fiber_per_100g	sugar_per_100g	diet_type	category
1	Greek yogurt 0%	59	10.3	3.6	0.4	0	3.6	vegetarian	dairy
2	Skyr 0%	62	11	4	0.2	0	4	vegetarian	dairy
3	Cottage cheese 1%	82	11	3.4	1	0	2.7	vegetarian	dairy
4	Milk 2%	50	3.4	5	2	0	5	vegetarian	dairy
5	Almond milk unsweetened	15	0.6	0.3	1.2	0.2	0	vegan	dairy-alt
6	Soy milk unsweetened	33	3.3	1.7	1.8	0.6	0.4	vegan	dairy-alt
7	Oats (dry)	389	16.9	66.3	6.9	10.6	1	vegan	grains
8	Whole wheat bread	247	13	41	4.2	6.8	5.7	vegan	grains
9	White rice cooked	130	2.4	28	0.3	0.4	0.1	vegan	grains
10	Brown rice cooked	111	2.6	23	0.9	1.8	0.4	vegan	grains
11	Quinoa cooked	120	4.4	21.3	1.9	2.8	0.9	vegan	grains
12	Couscous cooked	112	3.8	23	0.2	1.4	0.1	vegan	grains
13	Pasta cooked	157	5.8	30.9	0.9	1.8	0.6	vegan	grains
14	Whole wheat pasta cooked	149	6	30	1	4.8	0.6	vegan	grains
15	Tortilla (whole wheat)	310	9	53	8	7	3.5	vegan	grains
16	Rice cakes	387	7	82	3	3	0.7	vegan	grains
17	Granola	471	10	64	20	7	24	vegan	grains
18	Chia seeds	486	16.5	42.1	30.7	34.4	0	vegan	seeds
19	Flax seeds	534	18.3	28.9	42.2	27.3	1.6	vegan	seeds
20	Hemp seeds	553	31.6	8.7	48.8	4	1.5	vegan	seeds
21	Peanut butter	588	25	20	50	6	9	vegan	nuts
22	Almond butter	614	21	19	56	10	4.8	vegan	nuts
23	Almonds	579	21	22	50	12.5	4.4	vegan	nuts
24	Walnuts	654	15	14	65	6.7	2.6	vegan	nuts
25	Cashews	553	18	30	44	3.3	5.9	vegan	nuts
26	Pumpkin seeds	559	30	11	49	6	1.4	vegan	seeds
27	Sunflower seeds	584	21	20	51	8.6	2.7	vegan	seeds
28	Olive oil	884	0	0	100	0	0	vegan	fats
29	Canola oil	884	0	0	100	0	0	vegan	fats
30	Coconut oil	892	0	0	100	0	0	vegan	fats
31	Butter	717	0.9	0.1	81	0	0.1	vegetarian	fats
32	Avocado	160	2	8.5	14.7	6.7	0.7	vegan	fats
33	Mayonnaise	680	1	1	75	0	1	vegetarian	condiments
34	Mustard	66	4.4	5.8	3.3	3.3	0.9	vegan	condiments
35	Ketchup	112	1.3	26	0.2	0.3	22	vegan	condiments
36	Soy sauce	53	8.1	4.9	0.6	0.8	0.4	vegan	condiments
37	Salsa	36	1.5	7	0.2	1.5	3	vegan	condiments
38	Hummus	166	8	14	9.6	6	0.3	vegan	condiments
